FractureX[m],FractureY[m],FractureZ[m],Formation
14666908.87,4522303.832,-6324.016057,Fracture
14667163.43,4522296.243,-6340.106716,Fracture
14667425.25,4522321.716,-6324.943376,Fracture
14667266.47,4522306.52,-6347.441232,Fracture
14667907.31,4522327.16,-6355.655704,Fracture
14666771.89,4522335.385,-6349.583842,Fracture
14666994.28,4522326.078,-6310.713583,Fracture
14668359.93,4522340.316,-6331.964506,Fracture
14666004.01,4522344.337,-6338.751816,Fracture
14667143.47,4522338.965,-6316.567624,Fracture
14668191.38,4522351.404,-6328.559621,Fracture
14668303.53,4522367.825,-6343.299249,Fracture
14667182.74,4522361.027,-6313.756527,Fracture
14667507.96,4522396.156,-6321.129039,Fracture
14667448.01,4522402.732,-6352.746627,Fracture
14667482.55,4522400.393,-6344.11356,Fracture
14667624.44,4522404.8,-6357.271717,Fracture
14668264.34,4522393.663,-6352.158283,Fracture
14669449.35,4522405.894,-6345.498855,Fracture
14666143.93,4522412.589,-6344.32059,Fracture
14666367.71,4522432.908,-6372.023019,Fracture
14666593.08,4522436.129,-6344.737154,Fracture
14667285.84,4522433.366,-6339.106167,Fracture
14667568.17,4522456.857,-6356.388189,Fracture
14668595.68,4522456.712,-6331.964464,Fracture
14667310.96,4522443.788,-6328.32963,Fracture
14667851.75,4522471.085,-6349.050841,Fracture
14667280.12,4522453.026,-6343.908349,Fracture
14666363.62,4522467.88,-6344.864438,Fracture
14667566.11,4522494.618,-6356.313227,Fracture
14668281.32,4522499.537,-6347.116923,Fracture
14670004.14,4522500.955,-6319.789736,Fracture
14667054.82,4522501.695,-6351.155661,Fracture
14668608.88,4522513.636,-6325.202289,Fracture
14667994.1,4522530.582,-6359.132075,Fracture
14666865.88,4522518.899,-6335.460597,Fracture
14665377.38,4522531.589,-6323.893722,Fracture
14668039.76,4522556.207,-6362.368028,Fracture
14665109.83,4522552.685,-6324.49921,Fracture
14666621.15,4522551.577,-6351.429979,Fracture
